(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(6)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(7)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(11)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(12)), {C=0.0008762322015334064, S=0.0007781344227215252}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(18)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(22)), {C=0.0008762322015334064, S=0.0007781344227215252}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(31)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(40)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(41)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(43)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(47)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(53)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(55)), {C=0.0008762322015334064, S=0.0007781344227215252}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(60)), {C=0.0009857612267250822, S=0.0008754012255617158}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(61)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(62)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(63)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(66)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(67)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(68)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(79)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(80)), {C=0.0008762322015334064, S=0.0007781344227215252}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(81)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(82)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(89)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(90)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(91)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(93)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(100)), {C=0.0009857612267250822, S=0.0008754012255617158}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(106)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(107)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(109)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(110)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(111)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(113)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(115)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(118)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(126)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(127)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(129)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(132)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(138)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(140)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(143)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(145)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(146)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(147)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(156)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(162)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(171)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(179)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(180)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(183)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(184)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(185)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(188)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(189)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(196)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(201)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(202)), {C=0.0008762322015334064, S=0.0007781344227215252}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(205)), {C=0.0007667031763417305, S=0.0006808676198813345}
