(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(3)), {C=0.000816576503011126, S=0.0007781344227215252}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(26)), {C=0.0005103603143819537, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(160)), {C=0.0005103603143819537, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(225)), {C=0.0007145044401347351, S=0.0006808676198813345}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(312)), {C=0.0005103603143819537, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(358)), {C=0.0006124323772583443, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(376)), {C=0.0005103603143819537, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(420)), {C=0.0006124323772583443, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(422)), {C=0.0005103603143819537, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(427)), {C=0.0006124323772583443, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(448)), {C=0.0005103603143819537, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(476)), {C=0.0005103603143819537, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(485)), {C=0.0005103603143819537, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(562)), {C=0.0005103603143819537, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(576)), {C=0.0005103603143819537, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(592)), {C=0.0005103603143819537, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(619)), {C=0.0005103603143819537, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(642)), {C=0.0005103603143819537, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(794)), {C=0.0005103603143819537, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(880)), {C=0.0005103603143819537, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(884)), {C=0.0005103603143819537, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(994)), {C=0.0005103603143819537, S=0.00048633401420095323}
