(age_group(MiddleAdults))(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(390)), {C=0.0005207790855119259, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(477)), {C=0.0005207790855119259, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(488)), {C=0.0006249349026143109, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(814)), {C=0.0005207790855119259, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(969)), {C=0.0005207790855119259, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1078)), {C=0.0006249349026143109, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1104)), {C=0.0005207790855119259, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1275)), {C=0.0006249349026143109, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1362)), {C=0.0005207790855119259, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(390)), {C=0.0005207790855119259, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(477)), {C=0.0005207790855119259, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(488)), {C=0.0006249349026143109, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(814)), {C=0.0005207790855119259, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(969)), {C=0.0005207790855119259, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1078)), {C=0.0006249349026143109, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1104)), {C=0.0005207790855119259, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1275)), {C=0.0006249349026143109, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1362)), {C=0.0005207790855119259, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(390)), {C=0.0005207790855119259, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(477)), {C=0.0005207790855119259, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(488)), {C=0.0006249349026143109, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(814)), {C=0.0005207790855119259, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(969)), {C=0.0005207790855119259, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1078)), {C=0.0006249349026143109, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1104)), {C=0.0005207790855119259, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1275)), {C=0.0006249349026143109, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1362)), {C=0.0005207790855119259, S=0.00048633401420095323}
