(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(11)), {C=0.0006135596686777788, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(86)), {C=0.0005112997238981491, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(146)), {C=0.0006135596686777788, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(167)), {C=0.0005112997238981491, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(278)), {C=0.0006135596686777788, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(339)), {C=0.0005112997238981491, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(349)), {C=0.0007158196134574086, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(354)), {C=0.0005112997238981491, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(402)), {C=0.0005112997238981491, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(456)), {C=0.0006135596686777788, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(461)), {C=0.0006135596686777788, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(467)), {C=0.0006135596686777788, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(483)), {C=0.0005112997238981491, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(541)), {C=0.0005112997238981491, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(563)), {C=0.0005112997238981491, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(582)), {C=0.0005112997238981491, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(588)), {C=0.0007158196134574086, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(599)), {C=0.0005112997238981491, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(618)), {C=0.0005112997238981491, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(682)), {C=0.0005112997238981491, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(689)), {C=0.0005112997238981491, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(739)), {C=0.0007158196134574086, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(800)), {C=0.0005112997238981491, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(806)), {C=0.0005112997238981491, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(819)), {C=0.0006135596686777788, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(820)), {C=0.0005112997238981491, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(879)), {C=0.0005112997238981491, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(905)), {C=0.0006135596686777788, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(912)), {C=0.0005112997238981491, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(914)), {C=0.0005112997238981491, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(933)), {C=0.0005112997238981491, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(939)), {C=0.0005112997238981491, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(974)), {C=0.0005112997238981491, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(975)), {C=0.0005112997238981491, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(979)), {C=0.0006135596686777788, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(1003)), {C=0.0006135596686777788, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(1056)), {C=0.0005112997238981491, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(1275)), {C=0.0005112997238981491, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(1296)), {C=0.0005112997238981491, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(1311)), {C=0.0005112997238981491, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(1339)), {C=0.0005112997238981491, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(1346)), {C=0.0005112997238981491, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(1360)), {C=0.0005112997238981491, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(1365)), {C=0.0007158196134574086, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(1383)), {C=0.0005112997238981491, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(1411)), {C=0.0005112997238981491, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(1414)), {C=0.0005112997238981491, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(1422)), {C=0.0005112997238981491, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(1426)), {C=0.0005112997238981491, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(1441)), {C=0.0007158196134574086, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(1443)), {C=0.0006135596686777788, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(1447)), {C=0.0005112997238981491, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(1464)), {C=0.0005112997238981491, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(1489)), {C=0.0005112997238981491, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(1503)), {C=0.0007158196134574086, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(1538)), {C=0.0006135596686777788, S=0.0005836008170411438}
