(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(3)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(7)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(10)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(12)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(17)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(21)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(42)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(49)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(54)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(59)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(61)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(62)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(66)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(69)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(78)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(83)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(86)), {C=0.0012035504738979992, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(95)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(96)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(123)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(132)), {C=0.0009026628554234992, S=0.0005836008170411438}
