(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(21)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(41)), {C=0.0008991458114790948, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(42)), {C=0.0008991458114790948, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(53)), {C=0.0008991458114790948, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(85)), {C=0.0010490034467256107, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(87)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(181)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(226)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(250)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(254)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(261)), {C=0.0010490034467256107, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(313)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(344)), {C=0.0010490034467256107, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(345)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(382)), {C=0.0008991458114790948, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(386)), {C=0.0008991458114790948, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(403)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(420)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(431)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(454)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(468)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(482)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(498)), {C=0.0008991458114790948, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(511)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(527)), {C=0.0010490034467256107, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(542)), {C=0.0010490034467256107, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(550)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(567)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(580)), {C=0.0008991458114790948, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(606)), {C=0.0007492881762325792, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(623)), {C=0.0008991458114790948, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(648)), {C=0.0011988610819721266, S=0.0007781344227215252}
