(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(39)), {C=0.0005425935973955507, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(47)), {C=0.0005425935973955507, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(307)), {C=0.0005425935973955507, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(335)), {C=0.0005425935973955507, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(349)), {C=0.0005425935973955507, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(355)), {C=0.0005425935973955507, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(451)), {C=0.0005425935973955507, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(461)), {C=0.0006511123168746609, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(465)), {C=0.000759631036353771, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(516)), {C=0.0006511123168746609, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(575)), {C=0.0005425935973955507, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(725)), {C=0.0005425935973955507, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(912)), {C=0.0006511123168746609, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(921)), {C=0.0005425935973955507, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1057)), {C=0.0005425935973955507, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1184)), {C=0.0006511123168746609, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1198)), {C=0.0006511123168746609, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1300)), {C=0.0005425935973955507, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1339)), {C=0.0005425935973955507, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1365)), {C=0.0005425935973955507, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1441)), {C=0.0005425935973955507, S=0.00048633401420095323}
