(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(5)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(6)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(7)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(9)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(11)), {C=0.0009009009009009009, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(19)), {C=0.0008008008008008008, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(21)), {C=0.0011011011011011012, S=0.001069934831242097}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(22)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(28)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(29)), {C=0.0008008008008008008, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(30)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(32)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(33)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(39)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(45)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(46)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(52)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(53)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(54)), {C=0.0005005005005005005, S=0.00048633401420095323}
