(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(3)), {C=0.0007908264136022144, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(282)), {C=0.0005931198102016607, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(358)), {C=0.0004942665085013839, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(376)), {C=0.0004942665085013839, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(420)), {C=0.0004942665085013839, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(427)), {C=0.0005931198102016607, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(434)), {C=0.0005931198102016607, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(477)), {C=0.0005931198102016607, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(592)), {C=0.0004942665085013839, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(642)), {C=0.0005931198102016607, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(688)), {C=0.0004942665085013839, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(696)), {C=0.0004942665085013839, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(859)), {C=0.0004942665085013839, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(880)), {C=0.0004942665085013839, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1284)), {C=0.0004942665085013839, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1363)), {C=0.0004942665085013839, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1420)), {C=0.0004942665085013839, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1433)), {C=0.0004942665085013839, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1465)), {C=0.0006919731119019375, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1500)), {C=0.0004942665085013839, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(3)), {C=0.0007908264136022144, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(282)), {C=0.0005931198102016607, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(358)), {C=0.0004942665085013839, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(376)), {C=0.0004942665085013839, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(420)), {C=0.0004942665085013839, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(427)), {C=0.0005931198102016607, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(434)), {C=0.0005931198102016607, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(477)), {C=0.0005931198102016607, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(592)), {C=0.0004942665085013839, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(642)), {C=0.0005931198102016607, S=0.0005836008170411438}
