(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(66)), {C=0.0005067909993918509, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(81)), {C=0.0005067909993918509, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(83)), {C=0.000608149199270221, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(98)), {C=0.0005067909993918509, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(139)), {C=0.0005067909993918509, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(166)), {C=0.000608149199270221, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(179)), {C=0.0005067909993918509, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(192)), {C=0.0005067909993918509, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(222)), {C=0.0005067909993918509, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(233)), {C=0.0005067909993918509, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(244)), {C=0.000608149199270221, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(250)), {C=0.0007095073991485911, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(274)), {C=0.0005067909993918509, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(323)), {C=0.000608149199270221, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(399)), {C=0.0005067909993918509, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(403)), {C=0.0005067909993918509, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(419)), {C=0.0005067909993918509, S=0.00048633401420095323}
