(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(10)), {C=0.0005065342923715936, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(26)), {C=0.0006078411508459123, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(28)), {C=0.0005065342923715936, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(36)), {C=0.0005065342923715936, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(42)), {C=0.0005065342923715936, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(44)), {C=0.0005065342923715936, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(50)), {C=0.0006078411508459123, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(67)), {C=0.0005065342923715936, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(70)), {C=0.0007091480093202309, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(95)), {C=0.0005065342923715936, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(133)), {C=0.0005065342923715936, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(174)), {C=0.0005065342923715936, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(382)), {C=0.0005065342923715936, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(414)), {C=0.0005065342923715936, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(436)), {C=0.0005065342923715936, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(452)), {C=0.0005065342923715936, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(460)), {C=0.0005065342923715936, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(492)), {C=0.0005065342923715936, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(523)), {C=0.0005065342923715936, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(556)), {C=0.0005065342923715936, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(564)), {C=0.0005065342923715936, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(587)), {C=0.0006078411508459123, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(589)), {C=0.0005065342923715936, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(712)), {C=0.0006078411508459123, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(825)), {C=0.0006078411508459123, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(838)), {C=0.0006078411508459123, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(862)), {C=0.0005065342923715936, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(874)), {C=0.0005065342923715936, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(887)), {C=0.0005065342923715936, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(962)), {C=0.0005065342923715936, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(998)), {C=0.0005065342923715936, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1004)), {C=0.0005065342923715936, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1035)), {C=0.0005065342923715936, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1096)), {C=0.0006078411508459123, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1136)), {C=0.0005065342923715936, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1384)), {C=0.0005065342923715936, S=0.00048633401420095323}
