(gender(Male))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(76)), {C=0.0005551237926057511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(90)), {C=0.0005551237926057511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(112)), {C=0.0005551237926057511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(127)), {C=0.0005551237926057511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(254)), {C=0.0005551237926057511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(283)), {C=0.0005551237926057511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(337)), {C=0.0005551237926057511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(404)), {C=0.0005551237926057511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(420)), {C=0.0005551237926057511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(443)), {C=0.0006661485511269013, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(486)), {C=0.0005551237926057511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(550)), {C=0.0005551237926057511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(606)), {C=0.0005551237926057511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(673)), {C=0.0005551237926057511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(689)), {C=0.0005551237926057511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(757)), {C=0.0005551237926057511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(774)), {C=0.0005551237926057511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(875)), {C=0.0005551237926057511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(909)), {C=0.0005551237926057511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(978)), {C=0.0005551237926057511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(992)), {C=0.0005551237926057511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1015)), {C=0.0005551237926057511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1129)), {C=0.0005551237926057511, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1146)), {C=0.0005551237926057511, S=0.00048633401420095323}
