(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(24)), {C=0.0006648936170212767, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(30)), {C=0.0006648936170212767, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(38)), {C=0.0006648936170212767, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(195)), {C=0.0006648936170212767, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(252)), {C=0.0006648936170212767, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(349)), {C=0.0009308510638297872, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(361)), {C=0.0006648936170212767, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(372)), {C=0.0006648936170212767, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(394)), {C=0.0006648936170212767, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(414)), {C=0.0006648936170212767, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(434)), {C=0.0007978723404255319, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(447)), {C=0.0006648936170212767, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(461)), {C=0.0006648936170212767, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(465)), {C=0.0006648936170212767, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(490)), {C=0.0006648936170212767, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(500)), {C=0.0006648936170212767, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(501)), {C=0.0006648936170212767, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(516)), {C=0.0009308510638297872, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(517)), {C=0.0009308510638297872, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(530)), {C=0.0006648936170212767, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(532)), {C=0.0006648936170212767, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(552)), {C=0.0006648936170212767, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(563)), {C=0.0006648936170212767, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(571)), {C=0.0006648936170212767, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(576)), {C=0.0006648936170212767, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(583)), {C=0.0006648936170212767, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(588)), {C=0.0007978723404255319, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(634)), {C=0.0007978723404255319, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(637)), {C=0.0006648936170212767, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(691)), {C=0.0006648936170212767, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(705)), {C=0.0006648936170212767, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(725)), {C=0.0006648936170212767, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(808)), {C=0.0006648936170212767, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(834)), {C=0.0006648936170212767, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(839)), {C=0.0007978723404255319, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(895)), {C=0.0007978723404255319, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(989)), {C=0.0006648936170212767, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1018)), {C=0.0006648936170212767, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1020)), {C=0.0006648936170212767, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1036)), {C=0.0006648936170212767, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1044)), {C=0.0009308510638297872, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1046)), {C=0.0007978723404255319, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1056)), {C=0.0007978723404255319, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1088)), {C=0.0006648936170212767, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1127)), {C=0.0006648936170212767, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1131)), {C=0.0006648936170212767, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1134)), {C=0.0006648936170212767, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1233)), {C=0.0006648936170212767, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1243)), {C=0.0006648936170212767, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1247)), {C=0.0006648936170212767, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1249)), {C=0.0006648936170212767, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1288)), {C=0.0006648936170212767, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1300)), {C=0.0007978723404255319, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1354)), {C=0.0007978723404255319, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1365)), {C=0.0007978723404255319, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1366)), {C=0.0007978723404255319, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1377)), {C=0.0006648936170212767, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1394)), {C=0.0009308510638297872, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1401)), {C=0.0007978723404255319, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1426)), {C=0.0006648936170212767, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1443)), {C=0.0006648936170212767, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1445)), {C=0.0006648936170212767, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1447)), {C=0.0006648936170212767, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1460)), {C=0.0006648936170212767, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1492)), {C=0.0006648936170212767, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1501)), {C=0.0006648936170212767, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1528)), {C=0.0006648936170212767, S=0.00048633401420095323}
