(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(S)) --> (buy(227)), {C=0.000532197977647685, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(S)) --> (buy(412)), {C=0.000532197977647685, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(S)) --> (buy(415)), {C=0.000532197977647685, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(S)) --> (buy(584)), {C=0.000532197977647685, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(S)) --> (buy(681)), {C=0.000532197977647685, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(S)) --> (buy(872)), {C=0.000532197977647685, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(S)) --> (buy(1154)), {C=0.000532197977647685, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(S)) --> (buy(1420)), {C=0.000532197977647685, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(S)) --> (buy(1522)), {C=0.000532197977647685, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(S)) --> (buy(227)), {C=0.000532197977647685, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(S)) --> (buy(412)), {C=0.000532197977647685, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(S)) --> (buy(415)), {C=0.000532197977647685, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(S)) --> (buy(584)), {C=0.000532197977647685, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(S)) --> (buy(681)), {C=0.000532197977647685, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(S)) --> (buy(872)), {C=0.000532197977647685, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(S)) --> (buy(1154)), {C=0.000532197977647685, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(S)) --> (buy(1420)), {C=0.000532197977647685, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(S)) --> (buy(1522)), {C=0.000532197977647685, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(S)) --> (buy(227)), {C=0.000532197977647685, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(S)) --> (buy(412)), {C=0.000532197977647685, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(S)) --> (buy(415)), {C=0.000532197977647685, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(S)) --> (buy(584)), {C=0.000532197977647685, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(S)) --> (buy(681)), {C=0.000532197977647685, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(S)) --> (buy(872)), {C=0.000532197977647685, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(S)) --> (buy(1154)), {C=0.000532197977647685, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(S)) --> (buy(1420)), {C=0.000532197977647685, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(marital_status(S)) --> (buy(1522)), {C=0.000532197977647685, S=0.00048633401420095323}
