(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(7)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(14)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(22)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(23)), {C=0.0009548058561425843, S=0.0005836008170411438}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(29)), {C=0.0009548058561425843, S=0.0005836008170411438}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(34)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(48)), {C=0.0009548058561425843, S=0.0005836008170411438}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(65)), {C=0.0009548058561425843, S=0.0005836008170411438}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(70)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(75)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(82)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(88)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(92)), {C=0.0009548058561425843, S=0.0005836008170411438}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(102)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(124)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(135)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(153)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(161)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(168)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(170)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(215)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(221)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(225)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(231)), {C=0.0011139401654996816, S=0.0006808676198813345}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(232)), {C=0.0009548058561425843, S=0.0005836008170411438}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(241)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(242)), {C=0.0009548058561425843, S=0.0005836008170411438}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(250)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(258)), {C=0.0012730744748567792, S=0.0007781344227215252}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(290)), {C=0.001591343093570974, S=0.0009726680284019065}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(312)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(316)), {C=0.000795671546785487, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(328)), {C=0.0009548058561425843, S=0.0005836008170411438}
(yearly_salary($130K - $150K))(house_owner(Y)) --> (buy(334)), {C=0.000795671546785487, S=0.00048633401420095323}
