(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(37)), {C=0.0006901311249137335, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(43)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(47)), {C=0.0008051529790660224, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(51)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(83)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(118)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(122)), {C=0.0008051529790660224, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(133)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(150)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(168)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(180)), {C=0.0006901311249137335, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(187)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(201)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(206)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(211)), {C=0.0009201748332183116, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(228)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(244)), {C=0.0006901311249137335, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(249)), {C=0.0006901311249137335, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(261)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(270)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(287)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(301)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(307)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(308)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(310)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(336)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(341)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(346)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(347)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(353)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(365)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(390)), {C=0.0006901311249137335, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(396)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(404)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(412)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(426)), {C=0.0006901311249137335, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(432)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(433)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(445)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(477)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(486)), {C=0.0008051529790660224, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(492)), {C=0.0006901311249137335, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(546)), {C=0.0006901311249137335, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(566)), {C=0.0005751092707614447, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(587)), {C=0.0005751092707614447, S=0.00048633401420095323}
