(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(66)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(358)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(415)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(570)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(706)), {C=0.0006021073758153537, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(1356)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(66)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(358)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(415)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(570)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(706)), {C=0.0006021073758153537, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(1356)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(66)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(358)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(415)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(570)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(706)), {C=0.0006021073758153537, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(1356)), {C=0.0005017561465127949, S=0.00048633401420095323}
