(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(17)), {C=0.0005093724531377344, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(47)), {C=0.0005093724531377344, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(76)), {C=0.0006112469437652812, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(115)), {C=0.0006112469437652812, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(129)), {C=0.0006112469437652812, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(132)), {C=0.0005093724531377344, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(191)), {C=0.0005093724531377344, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(213)), {C=0.0005093724531377344, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(231)), {C=0.0005093724531377344, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(262)), {C=0.0005093724531377344, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(285)), {C=0.0005093724531377344, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(288)), {C=0.0005093724531377344, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(293)), {C=0.0005093724531377344, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(307)), {C=0.000814995925020375, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(323)), {C=0.000713121434392828, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(331)), {C=0.000713121434392828, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(332)), {C=0.0005093724531377344, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(337)), {C=0.0006112469437652812, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(370)), {C=0.0005093724531377344, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(372)), {C=0.0006112469437652812, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(399)), {C=0.0005093724531377344, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(407)), {C=0.0005093724531377344, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(413)), {C=0.0005093724531377344, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(414)), {C=0.0006112469437652812, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(417)), {C=0.0006112469437652812, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(443)), {C=0.000713121434392828, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(455)), {C=0.0005093724531377344, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(465)), {C=0.0006112469437652812, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(482)), {C=0.0005093724531377344, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(483)), {C=0.0005093724531377344, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(498)), {C=0.0005093724531377344, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(537)), {C=0.0006112469437652812, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(539)), {C=0.0005093724531377344, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(544)), {C=0.0006112469437652812, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(565)), {C=0.0006112469437652812, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(660)), {C=0.0009168704156479219, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(675)), {C=0.0005093724531377344, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(821)), {C=0.0005093724531377344, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(827)), {C=0.0005093724531377344, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(849)), {C=0.0006112469437652812, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(878)), {C=0.0005093724531377344, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(879)), {C=0.0005093724531377344, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(903)), {C=0.0005093724531377344, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(914)), {C=0.0005093724531377344, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(970)), {C=0.0005093724531377344, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(975)), {C=0.0005093724531377344, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(979)), {C=0.0005093724531377344, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial College))(house_owner(Y)) --> (buy(1046)), {C=0.0006112469437652812, S=0.0005836008170411438}
