(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(6)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(7)), {C=0.0005970149253731342, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(8)), {C=0.0005970149253731342, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(11)), {C=0.0007960199004975125, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(15)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(27)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(30)), {C=0.0005970149253731342, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(32)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(33)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(37)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(48)), {C=0.0005970149253731342, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(51)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(54)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(63)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(65)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(70)), {C=0.0005970149253731342, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(71)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(73)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(97)), {C=0.0005970149253731342, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(100)), {C=0.0005970149253731342, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(116)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(148)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(160)), {C=0.0008955223880597015, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(191)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(207)), {C=0.0005970149253731342, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(225)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(228)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(264)), {C=0.0006965174129353233, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(265)), {C=0.0006965174129353233, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(311)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(314)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(316)), {C=0.0004975124378109452, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(341)), {C=0.0006965174129353233, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Partial High School))(house_owner(Y)) --> (buy(342)), {C=0.0004975124378109452, S=0.00048633401420095323}
