(country(USA))(member card(Bronze))(education(Graduate Degree))(house_owner(Y)) --> (buy(21)), {C=0.0005098919029165817, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Graduate Degree))(house_owner(Y)) --> (buy(182)), {C=0.0005098919029165817, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Graduate Degree))(house_owner(Y)) --> (buy(214)), {C=0.0005098919029165817, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Graduate Degree))(house_owner(Y)) --> (buy(278)), {C=0.0005098919029165817, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Graduate Degree))(house_owner(Y)) --> (buy(336)), {C=0.0005098919029165817, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Graduate Degree))(house_owner(Y)) --> (buy(359)), {C=0.0005098919029165817, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Graduate Degree))(house_owner(Y)) --> (buy(505)), {C=0.0005098919029165817, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Graduate Degree))(house_owner(Y)) --> (buy(541)), {C=0.0005098919029165817, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Graduate Degree))(house_owner(Y)) --> (buy(616)), {C=0.0005098919029165817, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Graduate Degree))(house_owner(Y)) --> (buy(684)), {C=0.000611870283499898, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Graduate Degree))(house_owner(Y)) --> (buy(838)), {C=0.0005098919029165817, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Graduate Degree))(house_owner(Y)) --> (buy(842)), {C=0.0005098919029165817, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Graduate Degree))(house_owner(Y)) --> (buy(855)), {C=0.0005098919029165817, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Graduate Degree))(house_owner(Y)) --> (buy(869)), {C=0.000611870283499898, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Graduate Degree))(house_owner(Y)) --> (buy(941)), {C=0.000611870283499898, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Graduate Degree))(house_owner(Y)) --> (buy(1066)), {C=0.000611870283499898, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Graduate Degree))(house_owner(Y)) --> (buy(1070)), {C=0.0005098919029165817, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Graduate Degree))(house_owner(Y)) --> (buy(1162)), {C=0.0005098919029165817, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Graduate Degree))(house_owner(Y)) --> (buy(1214)), {C=0.0005098919029165817, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Graduate Degree))(house_owner(Y)) --> (buy(1237)), {C=0.000611870283499898, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Graduate Degree))(house_owner(Y)) --> (buy(1252)), {C=0.0005098919029165817, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Graduate Degree))(house_owner(Y)) --> (buy(1264)), {C=0.0005098919029165817, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Graduate Degree))(house_owner(Y)) --> (buy(1276)), {C=0.0005098919029165817, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Graduate Degree))(house_owner(Y)) --> (buy(1287)), {C=0.0005098919029165817, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Graduate Degree))(house_owner(Y)) --> (buy(1330)), {C=0.0005098919029165817, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Graduate Degree))(house_owner(Y)) --> (buy(1415)), {C=0.0005098919029165817, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Graduate Degree))(house_owner(Y)) --> (buy(1451)), {C=0.0005098919029165817, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Graduate Degree))(house_owner(Y)) --> (buy(1488)), {C=0.000611870283499898, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Graduate Degree))(house_owner(Y)) --> (buy(1491)), {C=0.0005098919029165817, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Graduate Degree))(house_owner(Y)) --> (buy(1544)), {C=0.0005098919029165817, S=0.00048633401420095323}
