(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(5)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(11)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(19)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(21)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(42)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(53)), {C=0.0009296148738379814, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(106)), {C=0.0007968127490039841, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(125)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(185)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(198)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(215)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(254)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(261)), {C=0.0007968127490039841, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(314)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(351)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(370)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(384)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(408)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(410)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(424)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(435)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(438)), {C=0.0009296148738379814, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(440)), {C=0.0009296148738379814, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(445)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(446)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(448)), {C=0.0007968127490039841, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(451)), {C=0.0007968127490039841, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(454)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(468)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(471)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(472)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(502)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(504)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(511)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(517)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(519)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(525)), {C=0.0007968127490039841, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(527)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(548)), {C=0.0007968127490039841, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(580)), {C=0.0007968127490039841, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(582)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(584)), {C=0.0007968127490039841, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(589)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(594)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(595)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(604)), {C=0.0006640106241699868, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(614)), {C=0.0006640106241699868, S=0.00048633401420095323}
