(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(3)), {C=0.0009375837128315028, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(5)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(6)), {C=0.0008036431824270024, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(7)), {C=0.0008036431824270024, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(10)), {C=0.0008036431824270024, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(17)), {C=0.0008036431824270024, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(21)), {C=0.0008036431824270024, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(37)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(42)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(46)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(48)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(49)), {C=0.0008036431824270024, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(54)), {C=0.0012054647736405037, S=0.0008754012255617158}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(58)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(59)), {C=0.0008036431824270024, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(61)), {C=0.0008036431824270024, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(62)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(67)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(69)), {C=0.0008036431824270024, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(72)), {C=0.0008036431824270024, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(73)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(83)), {C=0.0009375837128315028, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(84)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(86)), {C=0.0014733458344495045, S=0.001069934831242097}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(90)), {C=0.0009375837128315028, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(96)), {C=0.0008036431824270024, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(97)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(105)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(107)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(108)), {C=0.0008036431824270024, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(112)), {C=0.0008036431824270024, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(113)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(117)), {C=0.0006697026520225021, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(123)), {C=0.0009375837128315028, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(132)), {C=0.0008036431824270024, S=0.0005836008170411438}
