(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(394)), {C=0.0005023106288929074, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(593)), {C=0.0005023106288929074, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(609)), {C=0.0005023106288929074, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(733)), {C=0.0005023106288929074, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(996)), {C=0.0006027727546714888, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1406)), {C=0.0005023106288929074, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1417)), {C=0.0005023106288929074, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1446)), {C=0.0006027727546714888, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(394)), {C=0.0005023106288929074, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(593)), {C=0.0005023106288929074, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(609)), {C=0.0005023106288929074, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(733)), {C=0.0005023106288929074, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(996)), {C=0.0006027727546714888, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1406)), {C=0.0005023106288929074, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1417)), {C=0.0005023106288929074, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1446)), {C=0.0006027727546714888, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(394)), {C=0.0005023106288929074, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(593)), {C=0.0005023106288929074, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(609)), {C=0.0005023106288929074, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(733)), {C=0.0005023106288929074, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(996)), {C=0.0006027727546714888, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1406)), {C=0.0005023106288929074, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1417)), {C=0.0005023106288929074, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1446)), {C=0.0006027727546714888, S=0.0005836008170411438}
