(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(17)), {C=0.0007404273323460968, S=0.0006808676198813345}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(29)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(73)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(82)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(96)), {C=0.0006346519991537973, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(109)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(174)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(180)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(232)), {C=0.0007404273323460968, S=0.0006808676198813345}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(233)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(254)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(255)), {C=0.0006346519991537973, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(289)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(292)), {C=0.0007404273323460968, S=0.0006808676198813345}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(307)), {C=0.0006346519991537973, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(317)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(334)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(340)), {C=0.000951977998730696, S=0.0008754012255617158}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(371)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(375)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(393)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(406)), {C=0.0006346519991537973, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(412)), {C=0.0006346519991537973, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(421)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(426)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(442)), {C=0.0006346519991537973, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(443)), {C=0.0007404273323460968, S=0.0006808676198813345}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(457)), {C=0.0006346519991537973, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(473)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(478)), {C=0.0006346519991537973, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(481)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(483)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(504)), {C=0.0005288766659614978, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(537)), {C=0.0006346519991537973, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(546)), {C=0.0006346519991537973, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(559)), {C=0.0008462026655383965, S=0.0007781344227215252}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(567)), {C=0.0006346519991537973, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(568)), {C=0.0005288766659614978, S=0.00048633401420095323}
