(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(6)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(7)), {C=0.0008116059653038451, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(8)), {C=0.0008116059653038451, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(11)), {C=0.001115958202292787, S=0.001069934831242097}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(14)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(16)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(18)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(20)), {C=0.0008116059653038451, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(23)), {C=0.0008116059653038451, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(25)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(28)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(32)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(36)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(37)), {C=0.0009130567109668256, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(38)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(41)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(42)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(43)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(44)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(46)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(47)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(48)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(50)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(51)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(54)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(58)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(60)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(61)), {C=0.0010145074566298062, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(65)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(66)), {C=0.0010145074566298062, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(67)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(68)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(69)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(70)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(71)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(73)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(75)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(79)), {C=0.0008116059653038451, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(82)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(83)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(84)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(85)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(86)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(90)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(92)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(93)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(97)), {C=0.0009130567109668256, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(100)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(105)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(106)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(110)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(112)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(114)), {C=0.0008116059653038451, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(116)), {C=0.0012174089479557674, S=0.0011672016340822876}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(117)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(118)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(119)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(120)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(122)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(125)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(126)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(131)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(138)), {C=0.0008116059653038451, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(139)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(143)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(154)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(157)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(158)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(160)), {C=0.0008116059653038451, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(161)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(163)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(164)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(168)), {C=0.0008116059653038451, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(171)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(172)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(175)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(179)), {C=0.0010145074566298062, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(182)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(185)), {C=0.0008116059653038451, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(187)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(188)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(190)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(191)), {C=0.0010145074566298062, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(194)), {C=0.0009130567109668256, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(199)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(204)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(205)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(207)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(208)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(212)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(213)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(214)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(220)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(221)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(222)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(225)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(228)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(230)), {C=0.0008116059653038451, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(240)), {C=0.0006087044739778837, S=0.0005836008170411438}
