(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(3)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(11)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(13)), {C=0.0008276432857438445, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(29)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(31)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(34)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(46)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(50)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(59)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(62)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(66)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(67)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(70)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(75)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(76)), {C=0.0008276432857438445, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(83)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(89)), {C=0.0008276432857438445, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(90)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(94)), {C=0.0005172770535899028, S=0.00048633401420095323}
