(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(18)), {C=0.0005127679212388473, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(108)), {C=0.0005127679212388473, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(111)), {C=0.0005127679212388473, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(115)), {C=0.0005127679212388473, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(262)), {C=0.0005127679212388473, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(267)), {C=0.0006153215054866167, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(307)), {C=0.0006153215054866167, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(323)), {C=0.0006153215054866167, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(337)), {C=0.0006153215054866167, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(341)), {C=0.0005127679212388473, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(358)), {C=0.0005127679212388473, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(372)), {C=0.0006153215054866167, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(407)), {C=0.0006153215054866167, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(414)), {C=0.0005127679212388473, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(417)), {C=0.0007178750897343861, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(429)), {C=0.0005127679212388473, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(434)), {C=0.0005127679212388473, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(455)), {C=0.0006153215054866167, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(523)), {C=0.0005127679212388473, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(537)), {C=0.0006153215054866167, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(615)), {C=0.0005127679212388473, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(659)), {C=0.0005127679212388473, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(660)), {C=0.0009229822582299252, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(794)), {C=0.0005127679212388473, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(821)), {C=0.0005127679212388473, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(849)), {C=0.0007178750897343861, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(868)), {C=0.0005127679212388473, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(882)), {C=0.0006153215054866167, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(903)), {C=0.0005127679212388473, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(910)), {C=0.0005127679212388473, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(915)), {C=0.0006153215054866167, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(952)), {C=0.0005127679212388473, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(953)), {C=0.0005127679212388473, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(969)), {C=0.0006153215054866167, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1040)), {C=0.0005127679212388473, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1077)), {C=0.0005127679212388473, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1088)), {C=0.0005127679212388473, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1152)), {C=0.0005127679212388473, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1196)), {C=0.0006153215054866167, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1222)), {C=0.0006153215054866167, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1260)), {C=0.0005127679212388473, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1265)), {C=0.0005127679212388473, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1337)), {C=0.0005127679212388473, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1380)), {C=0.0005127679212388473, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1406)), {C=0.0005127679212388473, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1408)), {C=0.0005127679212388473, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1421)), {C=0.0007178750897343861, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1423)), {C=0.0005127679212388473, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1445)), {C=0.0006153215054866167, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1446)), {C=0.0005127679212388473, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1523)), {C=0.0005127679212388473, S=0.00048633401420095323}
