(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(33)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(48)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(53)), {C=0.0008261536645816121, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(55)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(78)), {C=0.0007081317124985247, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(85)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(110)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(133)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(141)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(165)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(178)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(197)), {C=0.0007081317124985247, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(230)), {C=0.0007081317124985247, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(254)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(261)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(262)), {C=0.0007081317124985247, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(265)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(384)), {C=0.0007081317124985247, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(403)), {C=0.0007081317124985247, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(410)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(415)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(448)), {C=0.0007081317124985247, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(451)), {C=0.0007081317124985247, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(466)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(471)), {C=0.0007081317124985247, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(477)), {C=0.0009441756166646997, S=0.0007781344227215252}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(485)), {C=0.0007081317124985247, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(490)), {C=0.0007081317124985247, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(498)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(501)), {C=0.0007081317124985247, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(505)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(520)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(527)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(532)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(537)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(547)), {C=0.0007081317124985247, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(548)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(551)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(567)), {C=0.0007081317124985247, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(573)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(582)), {C=0.0007081317124985247, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(584)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(604)), {C=0.0008261536645816121, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(611)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(620)), {C=0.0007081317124985247, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(623)), {C=0.0007081317124985247, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(648)), {C=0.0008261536645816121, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(651)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(660)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(710)), {C=0.0008261536645816121, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(712)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(723)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(779)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(804)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(808)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(855)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(860)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(874)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(876)), {C=0.0007081317124985247, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(886)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(891)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(900)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(914)), {C=0.0005901097604154373, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(M)) --> (buy(929)), {C=0.0005901097604154373, S=0.00048633401420095323}
