(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(59)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(86)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(96)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(179)), {C=0.0007571933366986369, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(221)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(261)), {C=0.0007571933366986369, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(269)), {C=0.0007571933366986369, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(270)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(271)), {C=0.0007571933366986369, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(292)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(322)), {C=0.0007571933366986369, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(338)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(340)), {C=0.0007571933366986369, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(349)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(454)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(457)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(458)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(472)), {C=0.0007571933366986369, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(476)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(485)), {C=0.0007571933366986369, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(504)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(536)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(543)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(546)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(567)), {C=0.0007571933366986369, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(569)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(576)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(593)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(696)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(765)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(794)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(796)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(822)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(835)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(879)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(888)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(892)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(900)), {C=0.0007571933366986369, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(909)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(928)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(946)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(956)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(965)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(972)), {C=0.0010095911155981827, S=0.0007781344227215252}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(987)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(989)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1012)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1032)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1050)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1092)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1145)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1176)), {C=0.0007571933366986369, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1182)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1192)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1206)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1212)), {C=0.0007571933366986369, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1218)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1229)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1232)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1329)), {C=0.0007571933366986369, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1343)), {C=0.0007571933366986369, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1347)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1352)), {C=0.0007571933366986369, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1362)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1365)), {C=0.0006309944472488642, S=0.00048633401420095323}
