(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(2)), {C=0.000705147577314395, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(6)), {C=0.0005036768409388536, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(11)), {C=0.0005036768409388536, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(12)), {C=0.0005036768409388536, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(13)), {C=0.0005036768409388536, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(17)), {C=0.0005036768409388536, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(19)), {C=0.0006044122091266242, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(20)), {C=0.0005036768409388536, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(21)), {C=0.0005036768409388536, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(38)), {C=0.0006044122091266242, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(39)), {C=0.0006044122091266242, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(45)), {C=0.0005036768409388536, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(46)), {C=0.0005036768409388536, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(52)), {C=0.0005036768409388536, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(66)), {C=0.0005036768409388536, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(68)), {C=0.0006044122091266242, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(71)), {C=0.0005036768409388536, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(74)), {C=0.0005036768409388536, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(81)), {C=0.0006044122091266242, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(82)), {C=0.0006044122091266242, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(83)), {C=0.0006044122091266242, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(84)), {C=0.0008058829455021659, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(86)), {C=0.0006044122091266242, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(96)), {C=0.0005036768409388536, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(107)), {C=0.0005036768409388536, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(108)), {C=0.0008058829455021659, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(109)), {C=0.0005036768409388536, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(114)), {C=0.0005036768409388536, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(120)), {C=0.0006044122091266242, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(121)), {C=0.0005036768409388536, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(124)), {C=0.0006044122091266242, S=0.0005836008170411438}
