(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(2)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(4)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(8)), {C=0.0007038712921065862, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(11)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(37)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(40)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(52)), {C=0.0006033182503770739, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(58)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(62)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(64)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(68)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(76)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(85)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(120)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(121)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(125)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(130)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(132)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(138)), {C=0.0007038712921065862, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(155)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(161)), {C=0.0007038712921065862, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(163)), {C=0.0006033182503770739, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(174)), {C=0.0006033182503770739, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(177)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(192)), {C=0.0006033182503770739, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(214)), {C=0.0006033182503770739, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(231)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(240)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(241)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(248)), {C=0.0006033182503770739, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(254)), {C=0.0006033182503770739, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(262)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(267)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(268)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(278)), {C=0.0006033182503770739, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(282)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(287)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(292)), {C=0.0006033182503770739, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(307)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(315)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(318)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(324)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(350)), {C=0.0006033182503770739, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(352)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(357)), {C=0.0007038712921065862, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(364)), {C=0.0007038712921065862, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(367)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(379)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(390)), {C=0.0005027652086475616, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(410)), {C=0.0006033182503770739, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(413)), {C=0.0007038712921065862, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(414)), {C=0.0006033182503770739, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(419)), {C=0.0006033182503770739, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(420)), {C=0.0006033182503770739, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(422)), {C=0.0007038712921065862, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y)) --> (buy(432)), {C=0.0005027652086475616, S=0.00048633401420095323}
