(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(12)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(13)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(24)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(39)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(52)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(67)), {C=0.0007148692810457516, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(81)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(88)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(90)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(104)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(126)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(143)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(146)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(147)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(153)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(167)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(185)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(192)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(202)), {C=0.0008169934640522876, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(205)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(206)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(217)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(221)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(231)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(234)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(258)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(262)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(266)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(271)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(279)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(328)), {C=0.0007148692810457516, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(329)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(341)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(347)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(351)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(363)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(394)), {C=0.0008169934640522876, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(396)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(397)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(398)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(400)), {C=0.0007148692810457516, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(401)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(414)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(417)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(419)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(425)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(426)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(428)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(430)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(433)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(441)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(447)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(456)), {C=0.0008169934640522876, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(471)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(472)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(482)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(485)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(490)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(501)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(503)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(522)), {C=0.0009191176470588236, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(535)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(544)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(545)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(549)), {C=0.0008169934640522876, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(550)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(551)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(562)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(574)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(578)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(588)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(589)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(594)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(605)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(606)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(618)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(629)), {C=0.0006127450980392157, S=0.0005836008170411438}
