(gender(Male))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(10)), {C=0.0004974629390110437, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(154)), {C=0.0004974629390110437, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(327)), {C=0.0004974629390110437, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(427)), {C=0.0004974629390110437, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(587)), {C=0.0004974629390110437, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(639)), {C=0.0004974629390110437, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(683)), {C=0.0004974629390110437, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(808)), {C=0.0004974629390110437, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(820)), {C=0.0006964481146154611, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(841)), {C=0.0004974629390110437, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(860)), {C=0.0004974629390110437, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(882)), {C=0.0004974629390110437, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(897)), {C=0.0006964481146154611, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(910)), {C=0.0004974629390110437, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(948)), {C=0.0004974629390110437, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1091)), {C=0.0005969555268132523, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1128)), {C=0.0004974629390110437, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1145)), {C=0.0004974629390110437, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1209)), {C=0.0005969555268132523, S=0.0005836008170411438}
