(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(142)), {C=0.000490340296165539, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(178)), {C=0.000490340296165539, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(284)), {C=0.000490340296165539, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(323)), {C=0.000490340296165539, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(455)), {C=0.000490340296165539, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(472)), {C=0.000490340296165539, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(477)), {C=0.000490340296165539, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(508)), {C=0.000490340296165539, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(539)), {C=0.000490340296165539, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(570)), {C=0.000490340296165539, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(593)), {C=0.000490340296165539, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(855)), {C=0.000490340296165539, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(894)), {C=0.000490340296165539, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1182)), {C=0.000490340296165539, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1420)), {C=0.000490340296165539, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1450)), {C=0.000490340296165539, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1496)), {C=0.000490340296165539, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1526)), {C=0.000490340296165539, S=0.00048633401420095323}
