(gender(Female))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(286)), {C=0.0005166890565257828, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(298)), {C=0.0005166890565257828, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(443)), {C=0.0005166890565257828, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(468)), {C=0.0005166890565257828, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(574)), {C=0.0005166890565257828, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(603)), {C=0.0005166890565257828, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(614)), {C=0.0005166890565257828, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(640)), {C=0.0005166890565257828, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(641)), {C=0.0005166890565257828, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(869)), {C=0.0006200268678309392, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(886)), {C=0.0005166890565257828, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(893)), {C=0.0005166890565257828, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(897)), {C=0.0005166890565257828, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(952)), {C=0.0005166890565257828, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1075)), {C=0.0005166890565257828, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1273)), {C=0.0005166890565257828, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1311)), {C=0.0005166890565257828, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1403)), {C=0.0006200268678309392, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1411)), {C=0.0006200268678309392, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1446)), {C=0.0005166890565257828, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1454)), {C=0.0005166890565257828, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1491)), {C=0.0006200268678309392, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1503)), {C=0.000930040301746409, S=0.0008754012255617158}
