(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(54)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(72)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(86)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(163)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(165)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(179)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(260)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(270)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(278)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(283)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(311)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(317)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(321)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(400)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(455)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(494)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(495)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(531)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(Y)) --> (buy(567)), {C=0.0006086427267194156, S=0.0005836008170411438}
