(gender(Male))(yearly_salary($90K - $110K)) --> (buy(106)), {C=0.0011063986723215931, S=0.0005836008170411438}
(gender(Male))(yearly_salary($90K - $110K)) --> (buy(366)), {C=0.0009219988936013277, S=0.00048633401420095323}
(gender(Male))(yearly_salary($90K - $110K)) --> (buy(409)), {C=0.0009219988936013277, S=0.00048633401420095323}
(gender(Male))(yearly_salary($90K - $110K)) --> (buy(433)), {C=0.0009219988936013277, S=0.00048633401420095323}
(gender(Male))(yearly_salary($90K - $110K)) --> (buy(546)), {C=0.0011063986723215931, S=0.0005836008170411438}
(gender(Male))(yearly_salary($90K - $110K)) --> (buy(569)), {C=0.0012907984510418587, S=0.0006808676198813345}
(gender(Male))(yearly_salary($90K - $110K)) --> (buy(691)), {C=0.0009219988936013277, S=0.00048633401420095323}
(gender(Male))(yearly_salary($90K - $110K)) --> (buy(776)), {C=0.0009219988936013277, S=0.00048633401420095323}
(gender(Male))(yearly_salary($90K - $110K)) --> (buy(821)), {C=0.0009219988936013277, S=0.00048633401420095323}
(gender(Male))(yearly_salary($90K - $110K)) --> (buy(949)), {C=0.0009219988936013277, S=0.00048633401420095323}
(gender(Male))(yearly_salary($90K - $110K)) --> (buy(1142)), {C=0.0009219988936013277, S=0.00048633401420095323}
(gender(Male))(yearly_salary($90K - $110K)) --> (buy(1212)), {C=0.0009219988936013277, S=0.00048633401420095323}
(gender(Male))(yearly_salary($90K - $110K)) --> (buy(1340)), {C=0.0009219988936013277, S=0.00048633401420095323}
(gender(Male))(yearly_salary($90K - $110K)) --> (buy(1387)), {C=0.0011063986723215931, S=0.0005836008170411438}
(gender(Male))(yearly_salary($90K - $110K)) --> (buy(1493)), {C=0.0009219988936013277, S=0.00048633401420095323}
(gender(Male))(yearly_salary($90K - $110K)) --> (buy(1545)), {C=0.0009219988936013277, S=0.00048633401420095323}
