(education(Partial College))(marital_status(S)) --> (buy(17)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(37)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(44)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(50)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(62)), {C=0.0010649627263045792, S=0.0005836008170411438}
(education(Partial College))(marital_status(S)) --> (buy(76)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(82)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(112)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(113)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(115)), {C=0.0010649627263045792, S=0.0005836008170411438}
(education(Partial College))(marital_status(S)) --> (buy(119)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(129)), {C=0.0010649627263045792, S=0.0005836008170411438}
(education(Partial College))(marital_status(S)) --> (buy(132)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(136)), {C=0.0014199503017394393, S=0.0007781344227215252}
(education(Partial College))(marital_status(S)) --> (buy(137)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(145)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(156)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(181)), {C=0.0012424565140220093, S=0.0006808676198813345}
(education(Partial College))(marital_status(S)) --> (buy(184)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(194)), {C=0.0012424565140220093, S=0.0006808676198813345}
(education(Partial College))(marital_status(S)) --> (buy(196)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(228)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(244)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(262)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(266)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(274)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(277)), {C=0.0010649627263045792, S=0.0005836008170411438}
(education(Partial College))(marital_status(S)) --> (buy(285)), {C=0.0010649627263045792, S=0.0005836008170411438}
(education(Partial College))(marital_status(S)) --> (buy(292)), {C=0.0012424565140220093, S=0.0006808676198813345}
(education(Partial College))(marital_status(S)) --> (buy(293)), {C=0.0010649627263045792, S=0.0005836008170411438}
(education(Partial College))(marital_status(S)) --> (buy(294)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(308)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(328)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(331)), {C=0.0012424565140220093, S=0.0006808676198813345}
(education(Partial College))(marital_status(S)) --> (buy(353)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(354)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(362)), {C=0.0014199503017394393, S=0.0007781344227215252}
(education(Partial College))(marital_status(S)) --> (buy(366)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(372)), {C=0.0012424565140220093, S=0.0006808676198813345}
(education(Partial College))(marital_status(S)) --> (buy(379)), {C=0.0010649627263045792, S=0.0005836008170411438}
(education(Partial College))(marital_status(S)) --> (buy(380)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(387)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(402)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(414)), {C=0.0012424565140220093, S=0.0006808676198813345}
(education(Partial College))(marital_status(S)) --> (buy(419)), {C=0.0010649627263045792, S=0.0005836008170411438}
(education(Partial College))(marital_status(S)) --> (buy(425)), {C=0.0014199503017394393, S=0.0007781344227215252}
(education(Partial College))(marital_status(S)) --> (buy(434)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(439)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(441)), {C=0.0010649627263045792, S=0.0005836008170411438}
(education(Partial College))(marital_status(S)) --> (buy(443)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(456)), {C=0.0010649627263045792, S=0.0005836008170411438}
(education(Partial College))(marital_status(S)) --> (buy(465)), {C=0.0015974440894568692, S=0.0008754012255617158}
(education(Partial College))(marital_status(S)) --> (buy(477)), {C=0.0014199503017394393, S=0.0007781344227215252}
(education(Partial College))(marital_status(S)) --> (buy(482)), {C=0.0010649627263045792, S=0.0005836008170411438}
(education(Partial College))(marital_status(S)) --> (buy(483)), {C=0.0010649627263045792, S=0.0005836008170411438}
(education(Partial College))(marital_status(S)) --> (buy(492)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(493)), {C=0.0012424565140220093, S=0.0006808676198813345}
(education(Partial College))(marital_status(S)) --> (buy(498)), {C=0.0010649627263045792, S=0.0005836008170411438}
(education(Partial College))(marital_status(S)) --> (buy(503)), {C=0.0010649627263045792, S=0.0005836008170411438}
(education(Partial College))(marital_status(S)) --> (buy(506)), {C=0.0010649627263045792, S=0.0005836008170411438}
(education(Partial College))(marital_status(S)) --> (buy(514)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(526)), {C=0.0010649627263045792, S=0.0005836008170411438}
(education(Partial College))(marital_status(S)) --> (buy(535)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(539)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(565)), {C=0.0010649627263045792, S=0.0005836008170411438}
(education(Partial College))(marital_status(S)) --> (buy(585)), {C=0.0010649627263045792, S=0.0005836008170411438}
(education(Partial College))(marital_status(S)) --> (buy(588)), {C=0.0008874689385871495, S=0.00048633401420095323}
(education(Partial College))(marital_status(S)) --> (buy(595)), {C=0.0008874689385871495, S=0.00048633401420095323}
