(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(2)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(6)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(8)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(11)), {C=0.0010980235575963266, S=0.001069934831242097}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(17)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(21)), {C=0.000898382910760631, S=0.0008754012255617158}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(36)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(39)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(40)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(47)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(68)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(70)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(72)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(76)), {C=0.0007985625873427831, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(79)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(81)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(86)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(90)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(100)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(108)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(112)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(115)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(120)), {C=0.0007985625873427831, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(121)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(124)), {C=0.0004991016170892394, S=0.00048633401420095323}
