(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(60)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(78)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(86)), {C=0.0006028938906752411, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(142)), {C=0.0006028938906752411, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(149)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(162)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(179)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(186)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(195)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(211)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(225)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(231)), {C=0.0006028938906752411, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(278)), {C=0.0006028938906752411, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(283)), {C=0.0006028938906752411, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(284)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(321)), {C=0.0006028938906752411, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(339)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(386)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(388)), {C=0.0006028938906752411, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(453)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(455)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(458)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(467)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(475)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(495)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(506)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(523)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(539)), {C=0.0006028938906752411, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(547)), {C=0.0006028938906752411, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(579)), {C=0.0006028938906752411, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(604)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(609)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(629)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(632)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(638)), {C=0.0008038585209003215, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(653)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(662)), {C=0.0006028938906752411, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(692)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(728)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(755)), {C=0.0006028938906752411, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(757)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(765)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(769)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(789)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(824)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(828)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(835)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(844)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(881)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(892)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(895)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(898)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(902)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(905)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(908)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(915)), {C=0.0006028938906752411, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(927)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(952)), {C=0.0006028938906752411, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(965)), {C=0.0007033762057877813, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(987)), {C=0.0005024115755627009, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(988)), {C=0.0006028938906752411, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(1030)), {C=0.0006028938906752411, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(S)) --> (buy(1032)), {C=0.0005024115755627009, S=0.00048633401420095323}
