(country(USA))(age_group(YoungAdults))(member card(Normal))(house_owner(Y)) --> (buy(180)), {C=0.0005221932114882506, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal))(house_owner(Y)) --> (buy(310)), {C=0.0005221932114882506, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal))(house_owner(Y)) --> (buy(374)), {C=0.0005221932114882506, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal))(house_owner(Y)) --> (buy(390)), {C=0.0005221932114882506, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal))(house_owner(Y)) --> (buy(588)), {C=0.0005221932114882506, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal))(house_owner(Y)) --> (buy(590)), {C=0.000835509138381201, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(member card(Normal))(house_owner(Y)) --> (buy(634)), {C=0.0005221932114882506, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal))(house_owner(Y)) --> (buy(827)), {C=0.0005221932114882506, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal))(house_owner(Y)) --> (buy(881)), {C=0.0007310704960835509, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Normal))(house_owner(Y)) --> (buy(909)), {C=0.0006266318537859007, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Normal))(house_owner(Y)) --> (buy(990)), {C=0.0005221932114882506, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal))(house_owner(Y)) --> (buy(1061)), {C=0.0005221932114882506, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal))(house_owner(Y)) --> (buy(1183)), {C=0.0005221932114882506, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal))(house_owner(Y)) --> (buy(1220)), {C=0.0005221932114882506, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal))(house_owner(Y)) --> (buy(1262)), {C=0.0005221932114882506, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal))(house_owner(Y)) --> (buy(1462)), {C=0.0006266318537859007, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Normal))(house_owner(Y)) --> (buy(1530)), {C=0.0005221932114882506, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal))(house_owner(Y)) --> (buy(1549)), {C=0.0005221932114882506, S=0.00048633401420095323}
