(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(66)), {C=0.0005175447676223993, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(128)), {C=0.0005175447676223993, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(358)), {C=0.000724562674671359, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(389)), {C=0.0005175447676223993, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(415)), {C=0.0006210537211468792, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(570)), {C=0.0006210537211468792, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(583)), {C=0.0006210537211468792, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(584)), {C=0.0005175447676223993, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(593)), {C=0.0008280716281958391, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(598)), {C=0.0005175447676223993, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(617)), {C=0.0005175447676223993, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(706)), {C=0.0006210537211468792, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(733)), {C=0.0005175447676223993, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(830)), {C=0.0005175447676223993, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(833)), {C=0.0005175447676223993, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(847)), {C=0.0005175447676223993, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(855)), {C=0.000724562674671359, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(858)), {C=0.0005175447676223993, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(946)), {C=0.0005175447676223993, S=0.00048633401420095323}
