(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(128)), {C=0.0005093205663644698, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(358)), {C=0.0005093205663644698, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(393)), {C=0.0005093205663644698, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(570)), {C=0.0005093205663644698, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(593)), {C=0.0006111846796373637, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(682)), {C=0.0005093205663644698, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(733)), {C=0.0005093205663644698, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(1356)), {C=0.0006111846796373637, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(1358)), {C=0.0005093205663644698, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(1406)), {C=0.0005093205663644698, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(1419)), {C=0.0005093205663644698, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(1446)), {C=0.0006111846796373637, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(128)), {C=0.0005093205663644698, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(358)), {C=0.0005093205663644698, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(393)), {C=0.0005093205663644698, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(570)), {C=0.0005093205663644698, S=0.00048633401420095323}
