(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(59)), {C=0.0007162468664199594, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(107)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(109)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(174)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(176)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(179)), {C=0.0007162468664199594, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(184)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(223)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(230)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(269)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(270)), {C=0.0009549958218932793, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(271)), {C=0.0009549958218932793, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(292)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(297)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(298)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(322)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(340)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(344)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(349)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(351)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(358)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(389)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(390)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(406)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(412)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(421)), {C=0.0007162468664199594, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(434)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(460)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(475)), {C=0.0007162468664199594, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(502)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(540)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(552)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(567)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(576)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(593)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(609)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(617)), {C=0.0007162468664199594, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(626)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(631)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(639)), {C=0.0007162468664199594, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(650)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(662)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(688)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(692)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(696)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(729)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(765)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(784)), {C=0.0007162468664199594, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(787)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(808)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(814)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(830)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(842)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(848)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(873)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(882)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(892)), {C=0.0007162468664199594, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(902)), {C=0.0007162468664199594, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(926)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(928)), {C=0.0007162468664199594, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(931)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(958)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(972)), {C=0.0008356213441566193, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(975)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(976)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(982)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(985)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(1019)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(1032)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(1044)), {C=0.0007162468664199594, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(1050)), {C=0.0009549958218932793, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(1092)), {C=0.0008356213441566193, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(1111)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(1124)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(1129)), {C=0.0008356213441566193, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(1200)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(1229)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(1237)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(1270)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(1275)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(1333)), {C=0.0007162468664199594, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(1365)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(1374)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(1398)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(1411)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(1413)), {C=0.0007162468664199594, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(1419)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(1425)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(1429)), {C=0.0005968723886832995, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K)) --> (buy(1446)), {C=0.0005968723886832995, S=0.00048633401420095323}
