(gender(Male))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(37)), {C=0.0005757715338553663, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(49)), {C=0.0005757715338553663, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(107)), {C=0.0005757715338553663, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(472)), {C=0.0005757715338553663, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(639)), {C=0.0006909258406264393, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(643)), {C=0.0005757715338553663, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(742)), {C=0.0005757715338553663, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(819)), {C=0.0005757715338553663, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(827)), {C=0.0005757715338553663, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(882)), {C=0.0005757715338553663, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(897)), {C=0.0005757715338553663, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1046)), {C=0.0005757715338553663, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1120)), {C=0.0005757715338553663, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1124)), {C=0.0006909258406264393, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1128)), {C=0.0005757715338553663, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1145)), {C=0.0005757715338553663, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1198)), {C=0.0005757715338553663, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1209)), {C=0.0005757715338553663, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1434)), {C=0.0006909258406264393, S=0.0005836008170411438}
