(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(8)), {C=0.0005082850462539393, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(11)), {C=0.0005082850462539393, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(129)), {C=0.0005082850462539393, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(132)), {C=0.0005082850462539393, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(161)), {C=0.000609942055504727, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(174)), {C=0.0005082850462539393, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(229)), {C=0.0005082850462539393, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(358)), {C=0.000609942055504727, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(364)), {C=0.0005082850462539393, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(372)), {C=0.000609942055504727, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(390)), {C=0.0005082850462539393, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(465)), {C=0.0005082850462539393, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(467)), {C=0.0005082850462539393, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(496)), {C=0.0005082850462539393, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(524)), {C=0.0005082850462539393, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(544)), {C=0.0005082850462539393, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(574)), {C=0.0007115990647555149, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(599)), {C=0.0005082850462539393, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(600)), {C=0.0005082850462539393, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(622)), {C=0.000609942055504727, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(660)), {C=0.000609942055504727, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(674)), {C=0.0005082850462539393, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(690)), {C=0.0005082850462539393, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(747)), {C=0.000609942055504727, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(763)), {C=0.0005082850462539393, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(825)), {C=0.0005082850462539393, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(848)), {C=0.0005082850462539393, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(849)), {C=0.000609942055504727, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(895)), {C=0.0005082850462539393, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(911)), {C=0.0005082850462539393, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(927)), {C=0.0005082850462539393, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(929)), {C=0.0005082850462539393, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(970)), {C=0.0008132560740063029, S=0.0007781344227215252}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(996)), {C=0.0005082850462539393, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1007)), {C=0.0005082850462539393, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1031)), {C=0.0005082850462539393, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1097)), {C=0.0005082850462539393, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1152)), {C=0.0005082850462539393, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1199)), {C=0.0005082850462539393, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1275)), {C=0.0005082850462539393, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1295)), {C=0.0005082850462539393, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1296)), {C=0.000609942055504727, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1342)), {C=0.0005082850462539393, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1363)), {C=0.0005082850462539393, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1374)), {C=0.0005082850462539393, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1407)), {C=0.0005082850462539393, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1425)), {C=0.0005082850462539393, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1432)), {C=0.0005082850462539393, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1438)), {C=0.0005082850462539393, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1475)), {C=0.0005082850462539393, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1500)), {C=0.0005082850462539393, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1525)), {C=0.0005082850462539393, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1552)), {C=0.0005082850462539393, S=0.00048633401420095323}
