(gender(Female))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(26)), {C=0.0005741846577859439, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(94)), {C=0.0005741846577859439, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(298)), {C=0.0005741846577859439, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(369)), {C=0.0005741846577859439, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(460)), {C=0.0005741846577859439, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(468)), {C=0.0005741846577859439, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(497)), {C=0.0005741846577859439, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(603)), {C=0.0006890215893431327, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(614)), {C=0.0005741846577859439, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(886)), {C=0.0005741846577859439, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(893)), {C=0.0005741846577859439, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(897)), {C=0.0005741846577859439, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(950)), {C=0.0005741846577859439, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1224)), {C=0.0005741846577859439, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1377)), {C=0.0005741846577859439, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1411)), {C=0.0005741846577859439, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1434)), {C=0.0005741846577859439, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1448)), {C=0.0005741846577859439, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1503)), {C=0.0008038585209003214, S=0.0006808676198813345}
