(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(12)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(15)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(18)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(19)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(22)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(36)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(41)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(43)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(44)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(49)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(53)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(55)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(56)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(59)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(60)), {C=0.0008493470644442086, S=0.0007781344227215252}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(62)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(66)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(76)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(77)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(81)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(82)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(83)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(95)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(99)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(100)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(102)), {C=0.0007431786813886824, S=0.0006808676198813345}
