(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(7)), {C=0.0005098399102681758, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(16)), {C=0.0005098399102681758, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(61)), {C=0.0005098399102681758, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(85)), {C=0.0005098399102681758, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(114)), {C=0.0005098399102681758, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(163)), {C=0.0005098399102681758, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(179)), {C=0.0007137758743754461, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(194)), {C=0.0005098399102681758, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(225)), {C=0.0005098399102681758, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(241)), {C=0.0005098399102681758, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(255)), {C=0.0005098399102681758, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(290)), {C=0.0005098399102681758, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(304)), {C=0.0008157438564290814, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(358)), {C=0.000611807892321811, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(373)), {C=0.000611807892321811, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(385)), {C=0.0005098399102681758, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(389)), {C=0.000611807892321811, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(397)), {C=0.0005098399102681758, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(399)), {C=0.0005098399102681758, S=0.00048633401420095323}
