(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(17)), {C=0.0007561845090202009, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(21)), {C=0.0008642108674516583, S=0.0007781344227215252}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(42)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(67)), {C=0.0006481581505887436, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(96)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(108)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(109)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(137)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(150)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(165)), {C=0.0006481581505887436, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(166)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(168)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(186)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(206)), {C=0.0008642108674516583, S=0.0007781344227215252}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(223)), {C=0.0006481581505887436, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(227)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(232)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(248)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(251)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(261)), {C=0.0008642108674516583, S=0.0007781344227215252}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(263)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(264)), {C=0.0006481581505887436, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(265)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(266)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(269)), {C=0.0006481581505887436, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(297)), {C=0.0009722372258831155, S=0.0008754012255617158}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(300)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(315)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(326)), {C=0.0008642108674516583, S=0.0007781344227215252}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(331)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(341)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(345)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(350)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(371)), {C=0.0006481581505887436, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(373)), {C=0.0006481581505887436, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(375)), {C=0.0006481581505887436, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(376)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(378)), {C=0.0007561845090202009, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(392)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(402)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(403)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(404)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(406)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(411)), {C=0.0006481581505887436, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(415)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(419)), {C=0.0006481581505887436, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(426)), {C=0.0006481581505887436, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(442)), {C=0.0007561845090202009, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(443)), {C=0.0005401317921572864, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(446)), {C=0.0007561845090202009, S=0.0006808676198813345}
