(gender(Female))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(41)), {C=0.0005641430666817105, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(143)), {C=0.0006769716800180526, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(176)), {C=0.0005641430666817105, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(188)), {C=0.0005641430666817105, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(211)), {C=0.0005641430666817105, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(385)), {C=0.0005641430666817105, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(468)), {C=0.0006769716800180526, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(470)), {C=0.0005641430666817105, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(552)), {C=0.0005641430666817105, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(553)), {C=0.0005641430666817105, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(603)), {C=0.0005641430666817105, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(606)), {C=0.0005641430666817105, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(614)), {C=0.0005641430666817105, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(658)), {C=0.0005641430666817105, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(686)), {C=0.0005641430666817105, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(689)), {C=0.0005641430666817105, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(791)), {C=0.0006769716800180526, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(832)), {C=0.0007898002933543947, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(837)), {C=0.0006769716800180526, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(839)), {C=0.0005641430666817105, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(869)), {C=0.0005641430666817105, S=0.00048633401420095323}
