(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(7)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(30)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(39)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(52)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(53)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(72)), {C=0.0007548797584384772, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(96)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(97)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(100)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(106)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(107)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(112)), {C=0.0006470397929472662, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(138)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(147)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(179)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(198)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(207)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(271)), {C=0.0006470397929472662, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(299)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(309)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(317)), {C=0.0007548797584384772, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(321)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(333)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(338)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(345)), {C=0.0006470397929472662, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(351)), {C=0.0006470397929472662, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(360)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(371)), {C=0.0006470397929472662, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(376)), {C=0.0006470397929472662, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(386)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(408)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(428)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(438)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(451)), {C=0.0006470397929472662, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(455)), {C=0.0006470397929472662, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(457)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(460)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(463)), {C=0.0005391998274560553, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(485)), {C=0.0006470397929472662, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(490)), {C=0.0006470397929472662, S=0.0005836008170411438}
