(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(2)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(7)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(43)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(89)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(148)), {C=0.0006090752207897675, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(187)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(227)), {C=0.0006090752207897675, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(239)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(249)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(274)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(342)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(348)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(354)), {C=0.0006090752207897675, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(384)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(394)), {C=0.0006090752207897675, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(404)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(426)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(456)), {C=0.0007105877575880621, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(480)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(495)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(497)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(506)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(553)), {C=0.0006090752207897675, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(566)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(575)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(593)), {C=0.0006090752207897675, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(596)), {C=0.0006090752207897675, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(624)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(746)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(755)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(760)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(782)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(786)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(799)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(816)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(817)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(827)), {C=0.0006090752207897675, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(880)), {C=0.0006090752207897675, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(888)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(928)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(946)), {C=0.000507562683991473, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(948)), {C=0.000507562683991473, S=0.00048633401420095323}
