(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(24)), {C=0.0006747638326585695, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(52)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(67)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(81)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(84)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(112)), {C=0.0006747638326585695, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(139)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(180)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(185)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(192)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(202)), {C=0.0006747638326585695, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(262)), {C=0.0006747638326585695, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(264)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(271)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(328)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(329)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(341)), {C=0.0006747638326585695, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(343)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(347)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(386)), {C=0.0006747638326585695, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(394)), {C=0.0006747638326585695, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(396)), {C=0.0006747638326585695, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(397)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(401)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(414)), {C=0.0005623031938821414, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(417)), {C=0.0005623031938821414, S=0.00048633401420095323}
