(gender(Female))(member card(Silver)) --> (buy(9)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(16)), {C=0.001075268817204301, S=0.0005836008170411438}
(gender(Female))(member card(Silver)) --> (buy(17)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(35)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(37)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(42)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(45)), {C=0.001075268817204301, S=0.0005836008170411438}
(gender(Female))(member card(Silver)) --> (buy(62)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(86)), {C=0.001075268817204301, S=0.0005836008170411438}
(gender(Female))(member card(Silver)) --> (buy(112)), {C=0.001075268817204301, S=0.0005836008170411438}
(gender(Female))(member card(Silver)) --> (buy(143)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(163)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(184)), {C=0.001075268817204301, S=0.0005836008170411438}
(gender(Female))(member card(Silver)) --> (buy(229)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(261)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(269)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(275)), {C=0.0012544802867383513, S=0.0006808676198813345}
(gender(Female))(member card(Silver)) --> (buy(285)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(304)), {C=0.0012544802867383513, S=0.0006808676198813345}
(gender(Female))(member card(Silver)) --> (buy(307)), {C=0.0012544802867383513, S=0.0006808676198813345}
(gender(Female))(member card(Silver)) --> (buy(311)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(316)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(320)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(345)), {C=0.001075268817204301, S=0.0005836008170411438}
(gender(Female))(member card(Silver)) --> (buy(371)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(381)), {C=0.0014336917562724016, S=0.0007781344227215252}
(gender(Female))(member card(Silver)) --> (buy(407)), {C=0.0016129032258064518, S=0.0008754012255617158}
(gender(Female))(member card(Silver)) --> (buy(415)), {C=0.001075268817204301, S=0.0005836008170411438}
(gender(Female))(member card(Silver)) --> (buy(428)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(448)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(456)), {C=0.000896057347670251, S=0.00048633401420095323}
(gender(Female))(member card(Silver)) --> (buy(478)), {C=0.000896057347670251, S=0.00048633401420095323}
