(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(7)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(11)), {C=0.0007421543681085665, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(13)), {C=0.0007421543681085665, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(19)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(23)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(26)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(37)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(40)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(43)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(45)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(62)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(66)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(67)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(75)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(76)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(81)), {C=0.0008481764206955047, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(83)), {C=0.0008481764206955047, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(86)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(89)), {C=0.0007421543681085665, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(94)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(96)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(98)), {C=0.0007421543681085665, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(109)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(113)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(115)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(122)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(123)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(125)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(126)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(127)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(132)), {C=0.0007421543681085665, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(136)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(139)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(146)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(150)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(152)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(153)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(154)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(158)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(162)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(166)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(179)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(181)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(182)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(192)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(195)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(199)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(211)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(222)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(224)), {C=0.0007421543681085665, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(232)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(233)), {C=0.0009541984732824427, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(244)), {C=0.0008481764206955047, S=0.0007781344227215252}
