(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(32)), {C=0.0005961251862891207, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(54)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(96)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(137)), {C=0.0005961251862891207, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(143)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(172)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(186)), {C=0.0006954793840039741, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(206)), {C=0.0005961251862891207, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(248)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(264)), {C=0.0006954793840039741, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(284)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(297)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(321)), {C=0.0004967709885742673, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y)) --> (buy(323)), {C=0.0004967709885742673, S=0.00048633401420095323}
