(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(11)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(13)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(19)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(28)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(43)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(44)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(46)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(50)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(58)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(62)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(66)), {C=0.0007012622720897616, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(70)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(75)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(77)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(89)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(127)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(132)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(146)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(148)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(152)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(153)), {C=0.0008014425966740132, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(166)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(173)), {C=0.0005009016229212583, S=0.00048633401420095323}
