(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(26)), {C=0.0005046427129592249, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(70)), {C=0.0005046427129592249, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(316)), {C=0.0005046427129592249, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(358)), {C=0.0005046427129592249, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(589)), {C=0.0005046427129592249, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(825)), {C=0.0007064997981429148, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(26)), {C=0.0005046427129592249, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(70)), {C=0.0005046427129592249, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(316)), {C=0.0005046427129592249, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(358)), {C=0.0005046427129592249, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(589)), {C=0.0005046427129592249, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(825)), {C=0.0007064997981429148, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(26)), {C=0.0005046427129592249, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(70)), {C=0.0005046427129592249, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(316)), {C=0.0005046427129592249, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(358)), {C=0.0005046427129592249, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(589)), {C=0.0005046427129592249, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(825)), {C=0.0007064997981429148, S=0.0006808676198813345}
