(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(2)), {C=0.0008069164265129683, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(8)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(12)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(13)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(17)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(19)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(20)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(34)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(35)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(38)), {C=0.0008069164265129683, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(39)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(40)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(44)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(45)), {C=0.0005763688760806917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(46)), {C=0.00069164265129683, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(52)), {C=0.0009221902017291068, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(62)), {C=0.0005763688760806917, S=0.00048633401420095323}
