(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(19)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(28)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(53)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(60)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(86)), {C=0.0007904357276948919, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(90)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(118)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(134)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(142)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(144)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(149)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(162)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(178)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(179)), {C=0.0006916312617330303, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(186)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(190)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(202)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(214)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(221)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(223)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(225)), {C=0.0006916312617330303, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(231)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(250)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(255)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(268)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(278)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(283)), {C=0.0007904357276948919, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(284)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(301)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(306)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(312)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(321)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(323)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(339)), {C=0.0007904357276948919, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(356)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(357)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(370)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(384)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(396)), {C=0.0004940223298093075, S=0.00048633401420095323}
