(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(21)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(42)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(53)), {C=0.0008939213349225268, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(72)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(85)), {C=0.0010429082240762813, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(96)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(106)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(125)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(168)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(185)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(196)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(198)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(219)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(226)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(254)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(261)), {C=0.0008939213349225268, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(265)), {C=0.0008939213349225268, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(297)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(314)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(330)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(345)), {C=0.0007449344457687724, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(M)) --> (buy(386)), {C=0.0010429082240762813, S=0.0006808676198813345}
