(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(4)), {C=0.0006152331733727083, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(108)), {C=0.0006152331733727083, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(113)), {C=0.0006152331733727083, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(127)), {C=0.0006152331733727083, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(129)), {C=0.0006152331733727083, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(181)), {C=0.0006152331733727083, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(227)), {C=0.0006152331733727083, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(231)), {C=0.0006152331733727083, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(262)), {C=0.0006152331733727083, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(293)), {C=0.0006152331733727083, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(307)), {C=0.0006152331733727083, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(323)), {C=0.0007382798080472499, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(328)), {C=0.0006152331733727083, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(333)), {C=0.0006152331733727083, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(337)), {C=0.0006152331733727083, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(358)), {C=0.0006152331733727083, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(370)), {C=0.0006152331733727083, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(414)), {C=0.0008613264427217916, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(455)), {C=0.0007382798080472499, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(477)), {C=0.0006152331733727083, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(503)), {C=0.0006152331733727083, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(506)), {C=0.0007382798080472499, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(537)), {C=0.0007382798080472499, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(544)), {C=0.0006152331733727083, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(565)), {C=0.0006152331733727083, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(573)), {C=0.0006152331733727083, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(645)), {C=0.0007382798080472499, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(660)), {C=0.0009843730773963332, S=0.0007781344227215252}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(725)), {C=0.0006152331733727083, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(821)), {C=0.0006152331733727083, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(847)), {C=0.0006152331733727083, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(849)), {C=0.0008613264427217916, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(916)), {C=0.0007382798080472499, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(939)), {C=0.0006152331733727083, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(981)), {C=0.0006152331733727083, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(982)), {C=0.0006152331733727083, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(1077)), {C=0.0007382798080472499, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(1096)), {C=0.0006152331733727083, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(1152)), {C=0.0007382798080472499, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(1196)), {C=0.0007382798080472499, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(1216)), {C=0.0006152331733727083, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(1222)), {C=0.0006152331733727083, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(1298)), {C=0.0006152331733727083, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(1311)), {C=0.0006152331733727083, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(1330)), {C=0.0006152331733727083, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(1335)), {C=0.0007382798080472499, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(1353)), {C=0.0006152331733727083, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(1406)), {C=0.0006152331733727083, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(1408)), {C=0.0006152331733727083, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(1421)), {C=0.0006152331733727083, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(1423)), {C=0.0006152331733727083, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(1445)), {C=0.0007382798080472499, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(1448)), {C=0.0007382798080472499, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(1464)), {C=0.0006152331733727083, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(1495)), {C=0.0008613264427217916, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(1498)), {C=0.0006152331733727083, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Partial College)) --> (buy(1529)), {C=0.0007382798080472499, S=0.0005836008170411438}
