(age_group(YoungAdults))(member card(Normal))(house_owner(Y)) --> (buy(180)), {C=0.0006357279084551812, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Normal))(house_owner(Y)) --> (buy(310)), {C=0.0006357279084551812, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Normal))(house_owner(Y)) --> (buy(374)), {C=0.0006357279084551812, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Normal))(house_owner(Y)) --> (buy(390)), {C=0.0006357279084551812, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Normal))(house_owner(Y)) --> (buy(588)), {C=0.0006357279084551812, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Normal))(house_owner(Y)) --> (buy(590)), {C=0.00101716465352829, S=0.0007781344227215252}
(age_group(YoungAdults))(member card(Normal))(house_owner(Y)) --> (buy(634)), {C=0.0006357279084551812, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Normal))(house_owner(Y)) --> (buy(827)), {C=0.0006357279084551812, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Normal))(house_owner(Y)) --> (buy(881)), {C=0.0008900190718372535, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Normal))(house_owner(Y)) --> (buy(909)), {C=0.0007628734901462173, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Normal))(house_owner(Y)) --> (buy(990)), {C=0.0006357279084551812, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Normal))(house_owner(Y)) --> (buy(1061)), {C=0.0006357279084551812, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Normal))(house_owner(Y)) --> (buy(1183)), {C=0.0006357279084551812, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Normal))(house_owner(Y)) --> (buy(1220)), {C=0.0006357279084551812, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Normal))(house_owner(Y)) --> (buy(1262)), {C=0.0006357279084551812, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Normal))(house_owner(Y)) --> (buy(1462)), {C=0.0007628734901462173, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Normal))(house_owner(Y)) --> (buy(1530)), {C=0.0006357279084551812, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Normal))(house_owner(Y)) --> (buy(1549)), {C=0.0006357279084551812, S=0.00048633401420095323}
